name,field,branches,cutoff,category,location,Year
St Xavier’s College Mumbai,Science,BSc Computer Science,85.20%,SC,Mumbai Maharashtra,2025
St Xavier’s College Mumbai,Science,BSc Computer Science,82.40%,ST,Mumbai Maharashtra,2025
Ramnarain Ruia College,Science,BSc Information Technology,91.00%,General,Mumbai Maharashtra,2025
Ramnarain Ruia College,Science,BSc Information Technology,87.40%,OBC,Mumbai Maharashtra,2025
Ramnarain Ruia College,Science,BSc Information Technology,82.80%,SC,Mumbai Maharashtra,2025
Ramnarain Ruia College,Science,BSc Information Technology,79.60%,ST,Mumbai Maharashtra,2025
Fergusson College Pune,Science,BSc Physics,90.20%,General,Pune Maharashtra,2025
Fergusson College Pune,Science,BSc Physics,86.50%,OBC,Pune Maharashtra,2025
Fergusson College Pune,Science,BSc Physics,82.00%,SC,Pune Maharashtra,2025
Fergusson College Pune,Science,BSc Physics,79.00%,ST,Pune Maharashtra,2025
Fergusson College Pune,Science,BSc Chemistry,89.60%,General,Pune Maharashtra,2025
Fergusson College Pune,Science,BSc Chemistry,85.80%,OBC,Pune Maharashtra,2025
Fergusson College Pune,Science,BSc Chemistry,81.40%,SC,Pune Maharashtra,2025
Fergusson College Pune,Science,BSc Chemistry,78.20%,ST,Pune Maharashtra,2025
Elphinstone College,Science,BSc Mathematics,88.80%,General,Mumbai Maharashtra,2025
Elphinstone College,Science,BSc Mathematics,84.90%,OBC,Mumbai Maharashtra,2025
Elphinstone College,Science,BSc Mathematics,80.30%,SC,Mumbai Maharashtra,2025
Elphinstone College,Science,BSc Mathematics,77.50%,ST,Mumbai Maharashtra,2025
KC College Mumbai,Science,BSc Statistics,87.50%,General,Mumbai Maharashtra,2025
KC College Mumbai,Science,BSc Statistics,83.60%,OBC,Mumbai Maharashtra,2025
KC College Mumbai,Science,BSc Statistics,79.00%,SC,Mumbai Maharashtra,2025
KC College Mumbai,Science,BSc Statistics,76.40%,ST,Mumbai Maharashtra,2025
SNDT Women’s University,Science,BSc Biology,86.00%,General,Mumbai Maharashtra,2025
SNDT Women’s University,Science,BSc Biology,82.10%,OBC,Mumbai Maharashtra,2025
SNDT Women’s University,Science,BSc Biology,77.80%,SC,Mumbai Maharashtra,2025
SNDT Women’s University,Science,BSc Biology,75.00%,ST,Mumbai Maharashtra,2025
KJ Somaiya College of Science,Science,BSc Biotechnology,88.40%,General,Mumbai Maharashtra,2025
KJ Somaiya College of Science,Science,BSc Biotechnology,84.20%,OBC,Mumbai Maharashtra,2025
KJ Somaiya College of Science,Science,BSc Biotechnology,79.60%,SC,Mumbai Maharashtra,2025
KJ Somaiya College of Science,Science,BSc Biotechnology,76.80%,ST,Mumbai Maharashtra,2025
Modern College Pune,Science,BSc Microbiology,85.60%,General,Pune Maharashtra,2025
Modern College Pune,Science,BSc Microbiology,81.70%,OBC,Pune Maharashtra,2025
Modern College Pune,Science,BSc Microbiology,77.20%,SC,Pune Maharashtra,2025
Modern College Pune,Science,BSc Microbiology,74.40%,ST,Pune Maharashtra,2025
SP College Pune,Science,BSc Computer Science,84.80%,General,Pune Maharashtra,2025
SP College Pune,Science,BSc Computer Science,80.90%,OBC,Pune Maharashtra,2025
SP College Pune,Science,BSc Computer Science,76.50%,SC,Pune Maharashtra,2025
SP College Pune,Science,BSc Computer Science,73.60%,ST,Pune Maharashtra,2025
Govt Institute of Science Nagpur,Science,BSc Chemistry,78.50%,General,Nagpur Maharashtra,2025
Govt Institute of Science Nagpur,Science,BSc Chemistry,74.80%,OBC,Nagpur Maharashtra,2025
Govt Institute of Science Nagpur,Science,BSc Chemistry,70.40%,SC,Nagpur Maharashtra,2025
Govt Institute of Science Nagpur,Science,BSc Chemistry,67.60%,ST,Nagpur Maharashtra,2025
Govt Science College Aurangabad,Science,BSc Physics,76.90%,General,Aurangabad Maharashtra,2025
Govt Science College Aurangabad,Science,BSc Physics,73.20%,OBC,Aurangabad Maharashtra,2025
Govt Science College Aurangabad,Science,BSc Physics,68.80%,SC,Aurangabad Maharashtra,2025
Govt Science College Aurangabad,Science,BSc Physics,65.90%,ST,Aurangabad Maharashtra,2025
Wilson College Mumbai,Science,BSc Computer Science,90.40%,General,Mumbai Maharashtra,2025
Wilson College Mumbai,Science,BSc Computer Science,86.70%,OBC,Mumbai Maharashtra,2025
Wilson College Mumbai,Science,BSc Computer Science,82.10%,SC,Mumbai Maharashtra,2025
Wilson College Mumbai,Science,BSc Computer Science,79.30%,ST,Mumbai Maharashtra,2025
Bhavan’s College Andheri,Science,BSc Information Technology,88.60%,General,Mumbai Maharashtra,2025
Bhavan’s College Andheri,Science,BSc Information Technology,84.90%,OBC,Mumbai Maharashtra,2025
Bhavan’s College Andheri,Science,BSc Information Technology,80.30%,SC,Mumbai Maharashtra,2025
Bhavan’s College Andheri,Science,BSc Information Technology,77.60%,ST,Mumbai Maharashtra,2025
Ruparel College Matunga,Science,BSc Physics,89.20%,General,Mumbai Maharashtra,2025
Ruparel College Matunga,Science,BSc Physics,85.50%,OBC,Mumbai Maharashtra,2025
Ruparel College Matunga,Science,BSc Physics,81.00%,SC,Mumbai Maharashtra,2025
Ruparel College Matunga,Science,BSc Physics,78.20%,ST,Mumbai Maharashtra,2025
Ruparel College Matunga,Science,BSc Chemistry,88.70%,General,Mumbai Maharashtra,2025
Ruparel College Matunga,Science,BSc Chemistry,85.00%,OBC,Mumbai Maharashtra,2025
Ruparel College Matunga,Science,BSc Chemistry,80.50%,SC,Mumbai Maharashtra,2025
Ruparel College Matunga,Science,BSc Chemistry,77.80%,ST,Mumbai Maharashtra,2025
Kelkar College Mulund,Science,BSc Mathematics,86.80%,General,Mumbai Maharashtra,2025
Kelkar College Mulund,Science,BSc Mathematics,83.00%,OBC,Mumbai Maharashtra,2025
Kelkar College Mulund,Science,BSc Mathematics,78.60%,SC,Mumbai Maharashtra,2025
Kelkar College Mulund,Science,BSc Mathematics,75.90%,ST,Mumbai Maharashtra,2025
Guru Nanak College Sion,Science,BSc Statistics,85.50%,General,Mumbai Maharashtra,2025
Guru Nanak College Sion,Science,BSc Statistics,81.80%,OBC,Mumbai Maharashtra,2025
Guru Nanak College Sion,Science,BSc Statistics,77.20%,SC,Mumbai Maharashtra,2025
Guru Nanak College Sion,Science,BSc Statistics,74.60%,ST,Mumbai Maharashtra,2025
SIES College Sion,Science,BSc Data Science,89.80%,General,Mumbai Maharashtra,2025
SIES College Sion,Science,BSc Data Science,86.10%,OBC,Mumbai Maharashtra,2025
SIES College Sion,Science,BSc Data Science,81.60%,SC,Mumbai Maharashtra,2025
SIES College Sion,Science,BSc Data Science,78.90%,ST,Mumbai Maharashtra,2025
Patkar College Goregaon,Science,BSc Biotechnology,87.90%,General,Mumbai Maharashtra,2025
Patkar College Goregaon,Science,BSc Biotechnology,84.10%,OBC,Mumbai Maharashtra,2025
Patkar College Goregaon,Science,BSc Biotechnology,79.70%,SC,Mumbai Maharashtra,2025
Patkar College Goregaon,Science,BSc Biotechnology,76.90%,ST,Mumbai Maharashtra,2025
Patkar College Goregaon,Science,BSc Microbiology,86.40%,General,Mumbai Maharashtra,2025
Patkar College Goregaon,Science,BSc Microbiology,82.70%,OBC,Mumbai Maharashtra,2025
Patkar College Goregaon,Science,BSc Microbiology,78.20%,SC,Mumbai Maharashtra,2025
Patkar College Goregaon,Science,BSc Microbiology,75.40%,ST,Mumbai Maharashtra,2025
Abasaheb Garware College Pune,Science,BSc Statistics,88.20%,General,Pune Maharashtra,2025
Abasaheb Garware College Pune,Science,BSc Statistics,84.50%,OBC,Pune Maharashtra,2025
Abasaheb Garware College Pune,Science,BSc Statistics,80.00%,SC,Pune Maharashtra,2025
Abasaheb Garware College Pune,Science,BSc Statistics,77.20%,ST,Pune Maharashtra,2025
Sinhgad College of Science Pune,Science,BSc Computer Science,82.60%,General,Pune Maharashtra,2025
Sinhgad College of Science Pune,Science,BSc Computer Science,78.90%,OBC,Pune Maharashtra,2025
Sinhgad College of Science Pune,Science,BSc Computer Science,74.30%,SC,Pune Maharashtra,2025
Sinhgad College of Science Pune,Science,BSc Computer Science,71.50%,ST,Pune Maharashtra,2025
Govt Science College Nanded,Science,BSc Biology,74.80%,General,Nanded Maharashtra,2025
Govt Science College Nanded,Science,BSc Biology,71.10%,OBC,Nanded Maharashtra,2025
Govt Science College Nanded,Science,BSc Biology,66.60%,SC,Nanded Maharashtra,2025
Govt Science College Nanded,Science,BSc Biology,63.80%,ST,Nanded Maharashtra,2025
Govt Science College Chandrapur,Science,BSc Chemistry,72.50%,General,Chandrapur Maharashtra,2025
Govt Science College Chandrapur,Science,BSc Chemistry,68.80%,OBC,Chandrapur Maharashtra,2025
Govt Science College Chandrapur,Science,BSc Chemistry,64.20%,SC,Chandrapur Maharashtra,2025
Govt Science College Chandrapur,Science,BSc Chemistry,61.50%,ST,Chandrapur Maharashtra,2025
K G Joshi College of Arts & Science Thane,Science,BSc Computer Science,88.60%,General,Thane Maharashtra,2025
K G Joshi College of Arts & Science Thane,Science,BSc Computer Science,84.90%,OBC,Thane Maharashtra,2025
K G Joshi College of Arts & Science Thane,Science,BSc Computer Science,80.40%,SC,Thane Maharashtra,2025
K G Joshi College of Arts & Science Thane,Science,BSc Computer Science,77.80%,ST,Thane Maharashtra,2025
Bedekar College Thane,Science,BSc Information Technology,87.20%,General,Thane Maharashtra,2025
Bedekar College Thane,Science,BSc Information Technology,83.60%,OBC,Thane Maharashtra,2025
Bedekar College Thane,Science,BSc Information Technology,79.10%,SC,Thane Maharashtra,2025
Bedekar College Thane,Science,BSc Information Technology,76.40%,ST,Thane Maharashtra,2025
S S J College Thane,Science,BSc Physics,85.80%,General,Thane Maharashtra,2025
S S J College Thane,Science,BSc Physics,82.00%,OBC,Thane Maharashtra,2025
S S J College Thane,Science,BSc Physics,77.60%,SC,Thane Maharashtra,2025
S S J College Thane,Science,BSc Physics,74.90%,ST,Thane Maharashtra,2025
K C College of Arts & Science Thane,Science,BSc Chemistry,84.40%,General,Thane Maharashtra,2025
K C College of Arts & Science Thane,Science,BSc Chemistry,80.70%,OBC,Thane Maharashtra,2025
K C College of Arts & Science Thane,Science,BSc Chemistry,76.20%,SC,Thane Maharashtra,2025
K C College of Arts & Science Thane,Science,BSc Chemistry,73.50%,ST,Thane Maharashtra,2025
R J College Ghatkopar,Science,BSc Mathematics,86.90%,General,Mumbai Maharashtra,2025
R J College Ghatkopar,Science,BSc Mathematics,83.20%,OBC,Mumbai Maharashtra,2025
R J College Ghatkopar,Science,BSc Mathematics,78.70%,SC,Mumbai Maharashtra,2025
R J College Ghatkopar,Science,BSc Mathematics,76.00%,ST,Mumbai Maharashtra,2025
SIES College of Arts & Science & Commerce Nerul,Science,BSc Data Science,89.40%,General,Navi Mumbai Maharashtra,2025
SIES College of Arts & Science & Commerce Nerul,Science,BSc Data Science,85.80%,OBC,Navi Mumbai Maharashtra,2025
SIES College of Arts & Science & Commerce Nerul,Science,BSc Data Science,81.20%,SC,Navi Mumbai Maharashtra,2025
SIES College of Arts & Science & Commerce Nerul,Science,BSc Data Science,78.60%,ST,Navi Mumbai Maharashtra,2025
Karmaveer Bhaurao Patil College Vashi,Science,BSc Information Technology,83.60%,General,Navi Mumbai Maharashtra,2025
Karmaveer Bhaurao Patil College Vashi,Science,BSc Information Technology,79.90%,OBC,Navi Mumbai Maharashtra,2025
Karmaveer Bhaurao Patil College Vashi,Science,BSc Information Technology,75.40%,SC,Navi Mumbai Maharashtra,2025
Karmaveer Bhaurao Patil College Vashi,Science,BSc Information Technology,72.80%,ST,Navi Mumbai Maharashtra,2025
SIES College of Arts Science & Commerce Sion (Navi Mumbai campus),Science,BSc Computer Science,82.80%,General,Navi Mumbai Maharashtra,2025
SIES College of Arts Science & Commerce Sion (Navi Mumbai campus),Science,BSc Computer Science,79.10%,OBC,Navi Mumbai Maharashtra,2025
SIES College of Arts Science & Commerce Sion (Navi Mumbai campus),Science,BSc Computer Science,74.60%,SC,Navi Mumbai Maharashtra,2025
SIES College of Arts Science & Commerce Sion (Navi Mumbai campus),Science,BSc Computer Science,72.00%,ST,Navi Mumbai Maharashtra,2025
Pillai College of Arts & Commerce & Science Panvel,Science,BSc Biotechnology,84.90%,General,Navi Mumbai Maharashtra,2025
Pillai College of Arts & Commerce & Science Panvel,Science,BSc Biotechnology,81.20%,OBC,Navi Mumbai Maharashtra,2025
Pillai College of Arts & Commerce & Science Panvel,Science,BSc Biotechnology,76.80%,SC,Navi Mumbai Maharashtra,2025
Pillai College of Arts & Commerce & Science Panvel,Science,BSc Biotechnology,74.10%,ST,Navi Mumbai Maharashtra,2025
Pillai College of Arts & Commerce & Science Panvel,Science,BSc Microbiology,83.50%,General,Navi Mumbai Maharashtra,2025
Pillai College of Arts & Commerce & Science Panvel,Science,BSc Microbiology,79.80%,OBC,Navi Mumbai Maharashtra,2025
Pillai College of Arts & Commerce & Science Panvel,Science,BSc Microbiology,75.30%,SC,Navi Mumbai Maharashtra,2025
Pillai College of Arts & Commerce & Science Panvel,Science,BSc Microbiology,72.70%,ST,Navi Mumbai Maharashtra,2025
S S J College of Arts & Science Ulhasnagar,Science,BSc Statistics,80.60%,General,Thane Maharashtra,2025
S S J College of Arts & Science Ulhasnagar,Science,BSc Statistics,77.00%,OBC,Thane Maharashtra,2025
S S J College of Arts & Science Ulhasnagar,Science,BSc Statistics,72.50%,SC,Thane Maharashtra,2025
S S J College of Arts & Science Ulhasnagar,Science,BSc Statistics,70.00%,ST,Thane Maharashtra,2025
St John College of Arts & Science Palghar,Science,BSc Computer Science,84.20%,General,Palghar Maharashtra,2025
St John College of Arts & Science Palghar,Science,BSc Computer Science,80.60%,OBC,Palghar Maharashtra,2025
St John College of Arts & Science Palghar,Science,BSc Computer Science,76.10%,SC,Palghar Maharashtra,2025
St John College of Arts & Science Palghar,Science,BSc Computer Science,73.50%,ST,Palghar Maharashtra,2025
St John College of Arts & Science Palghar,Science,BSc Information Technology,82.80%,General,Palghar Maharashtra,2025
St John College of Arts & Science Palghar,Science,BSc Information Technology,79.10%,OBC,Palghar Maharashtra,2025
St John College of Arts & Science Palghar,Science,BSc Information Technology,74.60%,SC,Palghar Maharashtra,2025
St John College of Arts & Science Palghar,Science,BSc Information Technology,72.00%,ST,Palghar Maharashtra,2025
Satish Pradhan Dnyanasadhana College Thane (Palghar campus),Science,BSc Physics,78.60%,General,Palghar Maharashtra,2025
Satish Pradhan Dnyanasadhana College Thane (Palghar campus),Science,BSc Physics,74.90%,OBC,Palghar Maharashtra,2025
Satish Pradhan Dnyanasadhana College Thane (Palghar campus),Science,BSc Physics,70.40%,SC,Palghar Maharashtra,2025
Satish Pradhan Dnyanasadhana College Thane (Palghar campus),Science,BSc Physics,67.80%,ST,Palghar Maharashtra,2025
Sonopant Dandekar College Palghar,Science,BSc Chemistry,76.90%,General,Palghar Maharashtra,2025
Sonopant Dandekar College Palghar,Science,BSc Chemistry,73.20%,OBC,Palghar Maharashtra,2025
Sonopant Dandekar College Palghar,Science,BSc Chemistry,68.80%,SC,Palghar Maharashtra,2025
Sonopant Dandekar College Palghar,Science,BSc Chemistry,66.10%,ST,Palghar Maharashtra,2025
M H Saboo Siddik College of Science Alibag,Science,BSc Mathematics,81.40%,General,Raigad Maharashtra,2025
M H Saboo Siddik College of Science Alibag,Science,BSc Mathematics,77.80%,OBC,Raigad Maharashtra,2025
M H Saboo Siddik College of Science Alibag,Science,BSc Mathematics,73.30%,SC,Raigad Maharashtra,2025
M H Saboo Siddik College of Science Alibag,Science,BSc Mathematics,70.60%,ST,Raigad Maharashtra,2025
Dr Babasaheb Ambedkar College of Arts & Science Mahad,Science,BSc Statistics,79.60%,General,Raigad Maharashtra,2025
Dr Babasaheb Ambedkar College of Arts & Science Mahad,Science,BSc Statistics,75.90%,OBC,Raigad Maharashtra,2025
Dr Babasaheb Ambedkar College of Arts & Science Mahad,Science,BSc Statistics,71.40%,SC,Raigad Maharashtra,2025
Dr Babasaheb Ambedkar College of Arts & Science Mahad,Science,BSc Statistics,68.80%,ST,Raigad Maharashtra,2025
Konkan Gyanpeeth College Karjat,Science,BSc Biotechnology,82.10%,General,Raigad Maharashtra,2025
Konkan Gyanpeith College Karjat,Science,BSc Biotechnology,78.40%,OBC,Raigad Maharashtra,2025
Konkan Gyanpeith College Karjat,Science,BSc Biotechnology,73.90%,SC,Raigad Maharashtra,2025
Konkan Gyanpeith College Karjat,Science,BSc Biotechnology,71.30%,ST,Raigad Maharashtra,2025
Konkan Gyanpeith College Karjat,Science,BSc Microbiology,80.80%,General,Raigad Maharashtra,2025
Konkan Gyanpeith College Karjat,Science,BSc Microbiology,77.10%,OBC,Raigad Maharashtra,2025
Konkan Gyanpeith College Karjat,Science,BSc Microbiology,72.60%,SC,Raigad Maharashtra,2025
Konkan Gyanpeith College Karjat,Science,BSc Microbiology,70.00%,ST,Raigad Maharashtra,2025
Pillai College of Arts & Commerce & Science New Panvel,Science,BSc Data Science,83.90%,General,Raigad Maharashtra,2025
Pillai College of Arts & Commerce & Science New Panvel,Science,BSc Data Science,80.20%,OBC,Raigad Maharashtra,2025
Pillai College of Arts & Commerce & Science New Panvel,Science,BSc Data Science,75.70%,SC,Raigad Maharashtra,2025
Pillai College of Arts & Commerce & Science New Panvel,Science,BSc Data Science,73.10%,ST,Raigad Maharashtra,2025
Pillai College of Arts & Commerce & Science New Panvel,Science,BSc Biology,78.40%,General,Raigad Maharashtra,2025
Pillai College of Arts & Commerce & Science New Panvel,Science,BSc Biology,74.70%,OBC,Raigad Maharashtra,2025
Pillai College of Arts & Commerce & Science New Panvel,Science,BSc Biology,70.20%,SC,Raigad Maharashtra,2025
Pillai College of Arts & Commerce & Science New Panvel,Science,BSc Biology,67.60%,ST,Raigad Maharashtra,2025
Government Polytechnic Mumbai,Diploma,Computer Engineering,88%,General,Mumbai Maharashtra,2025
Government Polytechnic Mumbai,Diploma,Computer Engineering,84%,OBC,Mumbai Maharashtra,2025
Government Polytechnic Mumbai,Diploma,Computer Engineering,78%,SC,Mumbai Maharashtra,2025
Government Polytechnic Mumbai,Diploma,Computer Engineering,74%,ST,Mumbai Maharashtra,2025
Government Polytechnic Pune,Diploma,Information Technology,85%,General,Pune Maharashtra,2025
Government Polytechnic Pune,Diploma,Information Technology,81%,OBC,Pune Maharashtra,2025
Government Polytechnic Pune,Diploma,Information Technology,75%,SC,Pune Maharashtra,2025
Government Polytechnic Pune,Diploma,Information Technology,71%,ST,Pune Maharashtra,2025
VJTI Polytechnic Mumbai,Diploma,Mechanical Engineering,90%,General,Mumbai Maharashtra,2025
VJTI Polytechnic Mumbai,Diploma,Mechanical Engineering,86%,OBC,Mumbai Maharashtra,2025
VJTI Polytechnic Mumbai,Diploma,Mechanical Engineering,80%,SC,Mumbai Maharashtra,2025
VJTI Polytechnic Mumbai,Diploma,Mechanical Engineering,76%,ST,Mumbai Maharashtra,2025
Cusrow Wadia Institute of Technology Pune,Diploma,Civil Engineering,82%,General,Pune Maharashtra,2025
Cusrow Wadia Institute of Technology Pune,Diploma,Civil Engineering,78%,OBC,Pune Maharashtra,2025
Cusrow Wadia Institute of Technology Pune,Diploma,Civil Engineering,72%,SC,Pune Maharashtra,2025
Cusrow Wadia Institute of Technology Pune,Diploma,Civil Engineering,68%,ST,Pune Maharashtra,2025
Government Polytechnic Nagpur,Diploma,Electrical Engineering,80%,General,Nagpur Maharashtra,2025
Government Polytechnic Nagpur,Diploma,Electrical Engineering,76%,OBC,Nagpur Maharashtra,2025
Government Polytechnic Nagpur,Diploma,Electrical Engineering,70%,SC,Nagpur Maharashtra,2025
Government Polytechnic Nagpur,Diploma,Electrical Engineering,66%,ST,Nagpur Maharashtra,2025
Government Polytechnic Aurangabad,Diploma,Electronics Engineering,78%,General,Aurangabad Maharashtra,2025
Government Polytechnic Aurangabad,Diploma,Electronics Engineering,74%,OBC,Aurangabad Maharashtra,2025
Government Polytechnic Aurangabad,Diploma,Electronics Engineering,69%,SC,Aurangabad Maharashtra,2025
Government Polytechnic Aurangabad,Diploma,Electronics Engineering,65%,ST,Aurangabad Maharashtra,2025
Institute of Chemical Technology (Polytechnic Wing) Mumbai,Diploma,Chemical Engineering,92%,General,Mumbai Maharashtra,2025
Institute of Chemical Technology (Polytechnic Wing) Mumbai,Diploma,Chemical Engineering,88%,OBC,Mumbai Maharashtra,2025
Institute of Chemical Technology (Polytechnic Wing) Mumbai,Diploma,Chemical Engineering,82%,SC,Mumbai Maharashtra,2025
Institute of Chemical Technology (Polytechnic Wing) Mumbai,Diploma,Chemical Engineering,78%,ST,Mumbai Maharashtra,2025
Government Polytechnic Amravati,Diploma,Automobile Engineering,75%,General,Amravati Maharashtra,2025
Government Polytechnic Amravati,Diploma,Automobile Engineering,71%,OBC,Amravati Maharashtra,2025
Government Polytechnic Amravati,Diploma,Automobile Engineering,66%,SC,Amravati Maharashtra,2025
Government Polytechnic Amravati,Diploma,Automobile Engineering,62%,ST,Amravati Maharashtra,2025
Rural Polytechnic Latur,Diploma,Mechanical Engineering,55%,General,Latur Maharashtra,2025
Rural Polytechnic Latur,Diploma,Mechanical Engineering,51%,OBC,Latur Maharashtra,2025
Rural Polytechnic Latur,Diploma,Mechanical Engineering,47%,SC,Latur Maharashtra,2025
Rural Polytechnic Latur,Diploma,Mechanical Engineering,44%,ST,Latur Maharashtra,2025
Government Polytechnic Nanded,Diploma,Civil Engineering,72%,General,Nanded Maharashtra,2025
Government Polytechnic Nanded,Diploma,Civil Engineering,68%,OBC,Nanded Maharashtra,2025
Government Polytechnic Nanded,Diploma,Civil Engineering,63%,SC,Nanded Maharashtra,2025
Government Polytechnic Nanded,Diploma,Civil Engineering,59%,ST,Nanded Maharashtra,2025
Government Polytechnic Jalgaon,Diploma,Electrical Engineering,70%,General,Jalgaon Maharashtra,2025
Government Polytechnic Jalgaon,Diploma,Electrical Engineering,66%,OBC,Jalgaon Maharashtra,2025
Government Polytechnic Jalgaon,Diploma,Electrical Engineering,61%,SC,Jalgaon Maharashtra,2025
Government Polytechnic Jalgaon,Diploma,Electrical Engineering,57%,ST,Jalgaon Maharashtra,2025
Government Polytechnic Chandrapur,Diploma,Electronics Engineering,68%,General,Chandrapur Maharashtra,2025
Government Polytechnic Chandrapur,Diploma,Electronics Engineering,64%,OBC,Chandrapur Maharashtra,2025
Government Polytechnic Chandrapur,Diploma,Electronics Engineering,59%,SC,Chandrapur Maharashtra,2025
Government Polytechnic Chandrapur,Diploma,Electronics Engineering,55%,ST,Chandrapur Maharashtra,2025
Government Polytechnic Kolhapur,Diploma,Computer Engineering,74%,General,Kolhapur Maharashtra,2025
Government Polytechnic Kolhapur,Diploma,Computer Engineering,70%,OBC,Kolhapur Maharashtra,2025
Government Polytechnic Kolhapur,Diploma,Computer Engineering,65%,SC,Kolhapur Maharashtra,2025
Government Polytechnic Kolhapur,Diploma,Computer Engineering,61%,ST,Kolhapur Maharashtra,2025
Government Polytechnic Dhule,Diploma,Information Technology,69%,General,Dhule Maharashtra,2025
Government Polytechnic Dhule,Diploma,Information Technology,65%,OBC,Dhule Maharashtra,2025
Government Polytechnic Dhule,Diploma,Information Technology,60%,SC,Dhule Maharashtra,2025
Government Polytechnic Dhule,Diploma,Information Technology,56%,ST,Dhule Maharashtra,2025
Government Polytechnic Mumbai,Diploma,Information Technology,86%,General,Mumbai Maharashtra,2025
Government Polytechnic Mumbai,Diploma,Information Technology,82%,OBC,Mumbai Maharashtra,2025
Government Polytechnic Mumbai,Diploma,Information Technology,76%,SC,Mumbai Maharashtra,2025
Government Polytechnic Mumbai,Diploma,Information Technology,72%,ST,Mumbai Maharashtra,2025
VJTI Polytechnic Mumbai,Diploma,Electrical Engineering,88%,General,Mumbai Maharashtra,2025
VJTI Polytechnic Mumbai,Diploma,Electrical Engineering,84%,OBC,Mumbai Maharashtra,2025
VJTI Polytechnic Mumbai,Diploma,Electrical Engineering,78%,SC,Mumbai Maharashtra,2025
VJTI Polytechnic Mumbai,Diploma,Electrical Engineering,74%,ST,Mumbai Maharashtra,2025
VJTI Polytechnic Mumbai,Diploma,Electronics Engineering,87%,General,Mumbai Maharashtra,2025
VJTI Polytechnic Mumbai,Diploma,Electronics Engineering,83%,OBC,Mumbai Maharashtra,2025
VJTI Polytechnic Mumbai,Diploma,Electronics Engineering,77%,SC,Mumbai Maharashtra,2025
VJTI Polytechnic Mumbai,Diploma,Electronics Engineering,73%,ST,Mumbai Maharashtra,2025
Cusrow Wadia Institute of Technology Mumbai,Diploma,Civil Engineering,82%,General,Mumbai Maharashtra,2025
Cusrow Wadia Institute of Technology Mumbai,Diploma,Civil Engineering,78%,OBC,Mumbai Maharashtra,2025
Cusrow Wadia Institute of Technology Mumbai,Diploma,Civil Engineering,72%,SC,Mumbai Maharashtra,2025
Cusrow Wadia Institute of Technology Mumbai,Diploma,Civil Engineering,68%,ST,Mumbai Maharashtra,2025
Cusrow Wadia Institute of Technology Mumbai,Diploma,Mechanical Engineering,84%,General,Mumbai Maharashtra,2025
Cusrow Wadia Institute of Technology Mumbai,Diploma,Mechanical Engineering,80%,OBC,Mumbai Maharashtra,2025
Cusrow Wadia Institute of Technology Mumbai,Diploma,Mechanical Engineering,74%,SC,Mumbai Maharashtra,2025
Cusrow Wadia Institute of Technology Mumbai,Diploma,Mechanical Engineering,70%,ST,Mumbai Maharashtra,2025
Institute of Chemical Technology (Polytechnic Wing),Diploma,Chemical Engineering,92%,General,Mumbai Maharashtra,2025
Institute of Chemical Technology (Polytechnic Wing),Diploma,Chemical Engineering,88%,OBC,Mumbai Maharashtra,2025
Institute of Chemical Technology (Polytechnic Wing),Diploma,Chemical Engineering,82%,SC,Mumbai Maharashtra,2025
Institute of Chemical Technology (Polytechnic Wing),Diploma,Chemical Engineering,78%,ST,Mumbai Maharashtra,2025
K J Somaiya Polytechnic Mumbai,Diploma,Computer Engineering,80%,General,Mumbai Maharashtra,2025
K J Somaiya Polytechnic Mumbai,Diploma,Computer Engineering,76%,OBC,Mumbai Maharashtra,2025
K J Somaiya Polytechnic Mumbai,Diploma,Computer Engineering,71%,SC,Mumbai Maharashtra,2025
K J Somaiya Polytechnic Mumbai,Diploma,Computer Engineering,67%,ST,Mumbai Maharashtra,2025
K J Somaiya Polytechnic Mumbai,Diploma,Information Technology,78%,General,Mumbai Maharashtra,2025
K J Somaiya Polytechnic Mumbai,Diploma,Information Technology,74%,OBC,Mumbai Maharashtra,2025
K J Somaiya Polytechnic Mumbai,Diploma,Information Technology,69%,SC,Mumbai Maharashtra,2025
K J Somaiya Polytechnic Mumbai,Diploma,Information Technology,65%,ST,Mumbai Maharashtra,2025
Vidyalankar Polytechnic Mumbai,Diploma,Electronics Engineering,76%,General,Mumbai Maharashtra,2025
Vidyalankar Polytechnic Mumbai,Diploma,Electronics Engineering,72%,OBC,Mumbai Maharashtra,2025
Vidyalankar Polytechnic Mumbai,Diploma,Electronics Engineering,67%,SC,Mumbai Maharashtra,2025
Vidyalankar Polytechnic Mumbai,Diploma,Electronics Engineering,63%,ST,Mumbai Maharashtra,2025
Vidyalankar Polytechnic Mumbai,Diploma,Electrical Engineering,74%,General,Mumbai Maharashtra,2025
Vidyalankar Polytechnic Mumbai,Diploma,Electrical Engineering,70%,OBC,Mumbai Maharashtra,2025
Vidyalankar Polytechnic Mumbai,Diploma,Electrical Engineering,65%,SC,Mumbai Maharashtra,2025
Vidyalankar Polytechnic Mumbai,Diploma,Electrical Engineering,61%,ST,Mumbai Maharashtra,2025
Saboo Siddik Polytechnic Byculla,Diploma,Civil Engineering,70%,General,Mumbai Maharashtra,2025
Saboo Siddik Polytechnic Byculla,Diploma,Civil Engineering,66%,OBC,Mumbai Maharashtra,2025
Saboo Siddik Polytechnic Byculla,Diploma,Civil Engineering,61%,SC,Mumbai Maharashtra,2025
